TIMESTAMP     PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
1746989327    8980 root      20   0   11.4g 236376  43904 S   0.0   6.3   1:19.41 node
1746989328    8980 root      20   0   11.4g 236376  43904 S   0.0   6.3   1:19.41 node
1746989329    8980 root      20   0   11.4g 236376  43904 S   0.0   6.3   1:19.41 node
1746989330    8980 root      20   0   11.4g 236376  43904 S   1.0   6.3   1:19.42 node
1746989331    8980 root      20   0   11.4g 210016  43904 S   3.0   5.6   1:19.45 node
1746989332    8980 root      20   0   11.4g 209480  43904 S   5.0   5.6   1:19.50 node
1746989333    8980 root      20   0   11.4g 212656  43904 S   8.0   5.7   1:19.58 node
1746989334    8980 root      20   0   11.4g 211188  43904 S  15.0   5.6   1:19.73 node
1746989335    8980 root      20   0   11.4g 211828  43904 S  15.0   5.7   1:19.88 node
1746989336    8980 root      20   0   11.4g 212212  43904 S  13.0   5.7   1:20.01 node
1746989337    8980 root      20   0   11.4g 217204  43904 R  17.0   5.8   1:20.18 node
1746989338    8980 root      20   0   11.4g 217460  43904 R  14.0   5.8   1:20.32 node
1746989339    8980 root      20   0   11.4g 217716  43904 S  17.0   5.8   1:20.49 node
1746989340    8980 root      20   0   11.4g 218100  43904 S  23.8   5.8   1:20.73 node
1746989341    8980 root      20   0   11.4g 218356  43904 S  21.0   5.8   1:20.94 node
1746989342    8980 root      20   0   11.4g 225396  43904 S  23.0   6.0   1:21.17 node
1746989343    8980 root      20   0   11.4g 226804  43904 S  17.0   6.1   1:21.34 node
1746989344    8980 root      20   0   11.4g 227060  43904 S   8.0   6.1   1:21.42 node
1746989345    8980 root      20   0   11.4g 227316  43904 S   8.0   6.1   1:21.50 node
1746989346    8980 root      20   0   11.4g 227316  43904 S   5.0   6.1   1:21.55 node
1746989347    8980 root      20   0   11.4g 227444  43904 S   4.0   6.1   1:21.59 node
1746989348    8980 root      20   0   11.4g 227572  43904 S   6.9   6.1   1:21.66 node
1746989349    8980 root      20   0   11.4g 227700  43904 S   7.0   6.1   1:21.73 node
1746989350    8980 root      20   0   11.4g 227700  43904 S   2.0   6.1   1:21.75 node
1746989351    8980 root      20   0   11.4g 227700  43904 S   4.0   6.1   1:21.79 node
1746989352    8980 root      20   0   11.4g 227700  43904 S   1.0   6.1   1:21.80 node
1746989353    8980 root      20   0   11.4g 227700  43904 S   2.0   6.1   1:21.82 node
1746989354    8980 root      20   0   11.4g 227700  43904 S   0.0   6.1   1:21.82 node
1746989355    8980 root      20   0   11.4g 227700  43904 S   0.0   6.1   1:21.82 node
1746989356    8980 root      20   0   11.4g 227700  43904 S   2.0   6.1   1:21.84 node
1746989357    8980 root      20   0   11.4g 227700  43904 S   0.0   6.1   1:21.84 node
1746989358    8980 root      20   0   11.4g 227700  43904 S   0.0   6.1   1:21.84 node
1746989359    8980 root      20   0   11.4g 227700  43904 S   0.0   6.1   1:21.84 node
1746989360    8980 root      20   0   11.4g 227700  43904 S   0.0   6.1   1:21.84 node
1746989361    8980 root      20   0   11.4g 227700  43904 S   0.0   6.1   1:21.84 node
1746989362    8980 root      20   0   11.4g 227700  43904 S   1.0   6.1   1:21.85 node
1746989363    8980 root      20   0   11.4g 227700  43904 S   0.0   6.1   1:21.85 node
1746989364    8980 root      20   0   11.4g 227700  43904 S   0.0   6.1   1:21.85 node
1746989365    8980 root      20   0   11.4g 227700  43904 S   0.0   6.1   1:21.85 node
1746989366    8980 root      20   0   11.4g 227700  43904 S   0.0   6.1   1:21.85 node
1746989367    8980 root      20   0   11.4g 227700  43904 S   0.0   6.1   1:21.85 node
1746989368    8980 root      20   0   11.4g 227700  43904 S   0.0   6.1   1:21.85 node
1746989369    8980 root      20   0   11.4g 227700  43904 S   0.0   6.1   1:21.85 node
1746989370    8980 root      20   0   11.4g 227700  43904 S   0.0   6.1   1:21.85 node
1746989371    8980 root      20   0   11.4g 227700  43904 S   0.0   6.1   1:21.85 node
1746989372    8980 root      20   0   11.4g 227700  43904 S   0.0   6.1   1:21.85 node
1746989373    8980 root      20   0   11.4g 227700  43904 S   0.0   6.1   1:21.85 node
1746989374    8980 root      20   0   11.4g 227700  43904 S   1.0   6.1   1:21.86 node
1746989375    8980 root      20   0   11.4g 227700  43904 S   0.0   6.1   1:21.86 node
1746989376    8980 root      20   0   11.4g 227700  43904 S   0.0   6.1   1:21.86 node
1746989377    8980 root      20   0   11.4g 227700  43904 S   0.0   6.1   1:21.86 node
1746989378    8980 root      20   0   11.4g 227700  43904 S   0.0   6.1   1:21.86 node
1746989379    8980 root      20   0   11.4g 227700  43904 S   0.0   6.1   1:21.86 node
1746989380    8980 root      20   0   11.4g 227700  43904 S   0.0   6.1   1:21.86 node
1746989381    8980 root      20   0   11.4g 227700  43904 S   0.0   6.1   1:21.86 node
1746989382    8980 root      20   0   11.4g 227700  43904 S   0.0   6.1   1:21.86 node
1746989383    8980 root      20   0   11.4g 227700  43904 S   0.0   6.1   1:21.86 node
1746989384    8980 root      20   0   11.4g 227700  43904 S   0.0   6.1   1:21.86 node
1746989385    8980 root      20   0   11.4g 227700  43904 S   0.0   6.1   1:21.86 node
1746989386    8980 root      20   0   11.4g 227700  43904 S   0.0   6.1   1:21.86 node
1746989387    8980 root      20   0   11.4g 227700  43904 S   0.0   6.1   1:21.86 node
1746989388    8980 root      20   0   11.4g 227700  43904 S   0.0   6.1   1:21.86 node
1746989389    8980 root      20   0   11.4g 227700  43904 S   0.0   6.1   1:21.86 node
